RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
1561007216,1,1,3000,3000,600,600,3000,2575,419,6,0,0,1.66667,5
1561007216,1,1,3000,1000,600,600,1000,952,48,0,0,0,0.15,5
1561007216,1,1,3000,2000,600,600,2000,1829,167,4,0,0,0.6,5
1561007216,1,1,3000,4000,600,600,3999,3368,624,7,0,0,3.2,5
1561007216,1,1,3000,5000,600,600,4999,3984,990,25,0,0,5.2,5
1561007216,1,1,3000,6000,600,600,5999,4575,1376,48,0,0,7.73333,5
1561007216,1,2,3000,3000,600,600,2998,2235,486,277,0,0,1.63333,5
1561007216,1,2,3000,1000,600,600,1000,923,66,11,0,0,0.0833333,5
1561007216,1,2,3000,2000,600,600,1997,1642,276,79,0,0,0.566667,5
1561007216,1,2,3000,4000,600,600,3996,2714,725,557,0,0,3.26667,5
1561007216,1,2,3000,5000,600,600,4995,2973,1027,995,0,0,5.01667,5
1561007216,1,2,3000,6000,600,600,5995,3239,1274,1482,0,0,7.8,5
1561007216,1,3,3000,3000,600,600,2999,2699,247,53,0,0,1.65,5
1561007216,1,3,3000,1000,600,600,1000,962,33,5,0,0,0.1,5
1561007216,1,3,3000,2000,600,600,1999,1879,103,17,0,0,0.6,5
1561007216,1,3,3000,4000,600,600,3998,3535,349,114,0,0,3.33333,5
1561007216,1,3,3000,5000,600,600,4998,4211,538,249,0,0,5.33333,5
1561007216,1,3,3000,6000,600,600,5997,4799,813,385,0,0,7.76667,5
1561007216,1,4,3000,3000,600,600,2999,2599,394,6,0,0,1.66667,5
1561007216,1,4,3000,1000,600,600,1000,950,50,0,0,0,0.1,5
1561007216,1,4,3000,2000,600,600,2000,1846,149,5,0,0,0.6,5
1561007216,1,4,3000,4000,600,600,3999,3410,582,7,0,0,3.33333,5
1561007216,1,4,3000,5000,600,600,4999,4073,900,26,0,0,5.38333,5
1561007216,1,4,3000,6000,600,600,5999,4687,1260,52,0,0,7.75,5
1561007216,1,5,3000,3000,600,600,2999,2699,246,54,0,0,1.8,5
1561007216,1,5,3000,1000,600,600,1000,963,32,5,0,0,0.1,5
1561007216,1,5,3000,2000,600,600,1999,1883,99,17,0,0,0.55,5
1561007216,1,5,3000,4000,600,600,3998,3537,347,114,0,0,3.28333,5
1561007216,1,5,3000,5000,600,600,4998,4219,528,251,0,0,5.46667,5
1561007216,1,5,3000,6000,600,600,5997,4810,798,389,0,0,7.8,5
1561007216,1,8,3000,3000,600,600,2998,231,1645,1122,0,0,1.7,5
1561007216,1,8,3000,1000,600,600,1000,369,540,91,0,0,0.1,5
1561007216,1,8,3000,2000,600,600,1995,308,1199,488,0,0,0.583333,5
1561007216,1,8,3000,4000,600,600,3992,177,1942,1873,0,0,3.38333,5
1561007216,1,8,3000,5000,600,600,4992,129,2118,2745,0,0,5.51667,5
1561007216,1,8,3000,6000,600,600,5994,124,2243,3627,0,0,7.93333,5
3940056016,1,1,3000,3000,600,600,3000,2603,393,4,0,0,1.78333,5
3940056016,1,1,3000,1000,600,600,1000,947,52,1,0,0,0.0833333,5
3940056016,1,1,3000,2000,600,600,1999,1830,166,3,0,0,0.583333,5
3940056016,1,1,3000,4000,600,600,4000,3342,642,16,0,0,3.26667,5
3940056016,1,1,3000,5000,600,600,5000,3962,1013,25,0,0,5.3,5
3940056016,1,1,3000,6000,600,600,6000,4550,1406,44,0,0,7.56667,5
3940056016,1,2,3000,3000,600,600,2999,2194,513,292,0,0,1.65,5
3940056016,1,2,3000,1000,600,600,999,899,84,16,0,0,0.1,5
3940056016,1,2,3000,2000,600,600,1997,1610,273,114,0,0,0.6,5
3940056016,1,2,3000,4000,600,600,3996,2657,745,594,0,0,3.23333,5
3940056016,1,2,3000,5000,600,600,4998,2980,1018,1000,0,0,5.4,5
3940056016,1,2,3000,6000,600,600,5997,3175,1327,1495,0,0,8.06667,5
3940056016,1,3,3000,3000,600,600,3000,2700,250,50,0,0,1.65,5
3940056016,1,3,3000,1000,600,600,1000,965,33,2,0,0,0.1,5
3940056016,1,3,3000,2000,600,600,1998,1855,118,25,0,0,0.6,5
3940056016,1,3,3000,4000,600,600,3999,3457,398,144,0,0,3.25,5
3940056016,1,3,3000,5000,600,600,4999,4140,587,272,0,0,5.4,5
3940056016,1,3,3000,6000,600,600,5997,4778,816,403,0,0,7.88333,5
3940056016,1,4,3000,3000,600,600,3000,2643,353,4,0,0,1.66667,5
3940056016,1,4,3000,1000,600,600,1000,952,47,1,0,0,0.0833333,5
3940056016,1,4,3000,2000,600,600,1999,1842,154,3,0,0,0.633333,5
3940056016,1,4,3000,4000,600,600,4000,3405,577,18,0,0,3.2,5
3940056016,1,4,3000,5000,600,600,5000,4025,944,31,0,0,5.1,5
