RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
1953068534,1,1,3000,3000,600,600,3000,2633,361,6,0,0,1.85,5
1953068534,1,1,2000,3000,600,600,3000,2633,361,6,0,0,1.8,5
1953068534,1,1,4000,3000,600,600,3000,2633,361,6,0,0,1.83333,5
1953068534,1,1,6000,3000,600,600,3000,1352,103,0,1545,0,1.8,5
1953068534,1,1,8000,3000,600,600,3000,781,33,0,2186,0,1.68333,5
1953068534,1,1,10000,3000,600,600,3000,500,22,0,2478,0,1.66667,5
1953068534,1,2,3000,3000,600,600,2996,2230,488,278,0,0,1.73333,5
1953068534,1,2,2000,3000,600,600,2996,2230,488,278,0,0,1.75,5
1953068534,1,2,4000,3000,600,600,2996,2230,488,278,0,0,1.78333,5
1953068534,1,2,6000,3000,600,600,2996,2230,488,278,0,0,1.81667,5
1953068534,1,2,8000,3000,600,600,2996,2230,488,278,0,0,1.81667,5
1953068534,1,2,10000,3000,600,600,3000,691,30,0,2279,0,1.75,5
1953068534,1,3,3000,3000,600,600,2999,2721,232,46,0,0,1.75,5
1953068534,1,3,2000,3000,600,600,2999,2721,232,46,0,0,1.75,5
1953068534,1,3,4000,3000,600,600,2999,2721,232,46,0,0,1.76667,5
1953068534,1,3,6000,3000,600,600,2999,2037,155,35,772,0,1.7,5
1953068534,1,3,8000,3000,600,600,2999,1006,73,16,1904,0,1.73333,5
1953068534,1,3,10000,3000,600,600,3000,500,22,0,2478,0,1.75,5
1953068534,1,4,3000,3000,600,600,3000,2657,337,6,0,0,1.78333,5
1953068534,1,4,2000,3000,600,600,3000,2633,361,6,0,0,1.75,5
1953068534,1,4,4000,3000,600,600,3000,2708,277,15,0,0,1.75,5
1953068534,1,4,6000,3000,600,600,2996,2329,463,204,0,0,1.75,5
1953068534,1,4,8000,3000,600,600,2994,1310,1056,628,0,0,1.76667,5
1953068534,1,4,10000,3000,600,600,2996,861,1129,548,458,0,1.76667,5
1953068534,1,5,3000,3000,600,600,2999,2730,222,47,0,0,1.75,5
1953068534,1,5,2000,3000,600,600,2999,2721,232,46,0,0,1.78333,5
1953068534,1,5,4000,3000,600,600,2999,2692,246,61,0,0,1.75,5
1953068534,1,5,6000,3000,600,600,2998,2049,458,287,204,0,1.78333,5
1953068534,1,5,8000,3000,600,600,2996,966,951,662,417,0,1.75,5
1953068534,1,5,10000,3000,600,600,2995,532,1058,597,808,0,1.83333,5
1953068534,1,8,3000,3000,600,600,2993,211,1661,1121,0,0,1.75,5
1953068534,1,8,2000,3000,600,600,2993,211,1661,1121,0,0,1.71667,5
1953068534,1,8,4000,3000,600,600,2993,211,1661,1121,0,0,1.7,5
1953068534,1,8,6000,3000,600,600,2993,211,1661,1121,0,0,1.76667,5
1953068534,1,8,8000,3000,600,600,2993,211,1661,1121,0,0,1.76667,5
1953068534,1,8,10000,3000,600,600,2995,230,1475,896,394,0,1.83333,5
4175896711,1,1,3000,3000,600,600,3000,2635,362,3,0,0,1.73333,5
