RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.88333,0
3880027468,1,7,8000,3000,600,600,2997,1290,1079,628,0,0,1.8,0
3880027468,1,7,10000,3000,600,600,2997,865,1115,582,435,0,1.75,0
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.68333,5
3880027468,1,7,8000,3000,600,600,2997,1290,1079,628,0,0,1.78333,5
3880027468,1,7,10000,3000,600,600,2997,865,1115,582,435,0,1.76667,5
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.75,10
3880027468,1,7,8000,3000,600,600,2997,1290,1079,628,0,0,1.75,10
3880027468,1,7,10000,3000,600,600,2997,867,1114,581,435,0,1.8,10
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.76667,20
3880027468,1,7,8000,3000,600,600,2997,1289,1083,625,0,0,1.81667,20
3880027468,1,7,10000,3000,600,600,2997,881,1110,567,439,0,1.73333,20
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.78333,50
3880027468,1,7,8000,3000,600,600,2997,1340,1085,572,0,0,1.78333,50
3880027468,1,7,10000,3000,600,600,2997,1272,832,432,461,0,1.75,50
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.7,60
3880027468,1,7,8000,3000,600,600,2998,1635,866,497,0,0,1.76667,60
3880027468,1,7,10000,3000,600,600,2998,1400,760,361,477,0,1.76667,60
3880027468,1,7,3000,3000,600,600,3000,2667,328,5,0,0,1.75,80
3880027468,1,7,8000,3000,600,600,2999,1968,658,373,0,0,1.73333,80
3880027468,1,7,10000,3000,600,600,3000,1303,485,122,1090,0,1.73333,80
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.71667,0
2029004524,1,7,8000,3000,600,600,2995,1281,1091,623,0,0,1.75,0
2029004524,1,7,10000,3000,600,600,2996,863,1117,584,432,0,1.76667,0
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.8,5
2029004524,1,7,8000,3000,600,600,2995,1281,1091,623,0,0,1.78333,5
2029004524,1,7,10000,3000,600,600,2996,863,1117,584,432,0,1.76667,5
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.73333,10
2029004524,1,7,8000,3000,600,600,2995,1281,1091,623,0,0,1.73333,10
2029004524,1,7,10000,3000,600,600,2996,862,1118,584,432,0,1.76667,10
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.68333,20
2029004524,1,7,8000,3000,600,600,2995,1284,1089,622,0,0,1.65,20
2029004524,1,7,10000,3000,600,600,2996,876,1117,571,432,0,1.76667,20
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.75,50
2029004524,1,7,8000,3000,600,600,2994,1366,1061,567,0,0,1.75,50
2029004524,1,7,10000,3000,600,600,2996,1284,840,396,476,0,1.75,50
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.76667,60
2029004524,1,7,8000,3000,600,600,2994,1623,865,506,0,0,1.75,60
2029004524,1,7,10000,3000,600,600,2996,1407,776,307,506,0,1.76667,60
2029004524,1,7,3000,3000,600,600,3000,2633,361,6,0,0,1.7,80
2029004524,1,7,8000,3000,600,600,2995,1959,675,361,0,0,1.73333,80
2029004524,1,7,10000,3000,600,600,2998,1264,505,92,1137,0,1.75,80
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.76667,0
2007836811,1,7,8000,3000,600,600,2996,1339,1080,577,0,0,1.78333,0
2007836811,1,7,10000,3000,600,600,2995,879,1111,561,444,0,1.78333,0
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.73333,5
2007836811,1,7,8000,3000,600,600,2996,1339,1080,577,0,0,1.75,5
2007836811,1,7,10000,3000,600,600,2995,879,1111,561,444,0,1.73333,5
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.73333,10
2007836811,1,7,8000,3000,600,600,2996,1339,1080,577,0,0,1.73333,10
2007836811,1,7,10000,3000,600,600,2995,876,1114,561,444,0,1.75,10
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.76667,20
2007836811,1,7,8000,3000,600,600,2996,1344,1079,573,0,0,1.75,20
2007836811,1,7,10000,3000,600,600,2995,890,1107,551,447,0,1.76667,20
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.75,50
2007836811,1,7,8000,3000,600,600,2996,1429,1058,509,0,0,1.76667,50
2007836811,1,7,10000,3000,600,600,2996,1297,841,384,474,0,1.76667,50
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.71667,60
2007836811,1,7,8000,3000,600,600,2996,1656,891,449,0,0,1.66667,60
2007836811,1,7,10000,3000,600,600,2996,1432,763,304,497,0,1.68333,60
2007836811,1,7,3000,3000,600,600,2999,2624,369,6,0,0,1.76667,80
2007836811,1,7,8000,3000,600,600,2999,2030,638,331,0,0,1.75,80
2007836811,1,7,10000,3000,600,600,2999,1320,491,95,1093,0,1.73333,80
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.73333,0
1300732500,1,7,8000,3000,600,600,2997,1339,1070,588,0,0,1.75,0
1300732500,1,7,10000,3000,600,600,2997,917,1096,538,446,0,1.75,0
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.7,5
1300732500,1,7,8000,3000,600,600,2997,1339,1070,588,0,0,1.76667,5
1300732500,1,7,10000,3000,600,600,2997,917,1096,538,446,0,1.76667,5
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.76667,10
1300732500,1,7,8000,3000,600,600,2997,1339,1070,588,0,0,1.76667,10
1300732500,1,7,10000,3000,600,600,2997,916,1097,538,446,0,1.76667,10
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.71667,20
1300732500,1,7,8000,3000,600,600,2997,1338,1071,588,0,0,1.8,20
1300732500,1,7,10000,3000,600,600,2997,924,1098,525,450,0,1.8,20
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.73333,50
1300732500,1,7,8000,3000,600,600,2997,1419,1034,544,0,0,1.78333,50
1300732500,1,7,10000,3000,600,600,2997,1267,871,385,474,0,1.75,50
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.7,60
1300732500,1,7,8000,3000,600,600,2998,1600,913,485,0,0,1.75,60
1300732500,1,7,10000,3000,600,600,2998,1401,785,332,480,0,1.75,60
1300732500,1,7,3000,3000,600,600,2999,2657,337,5,0,0,1.7,80
1300732500,1,7,8000,3000,600,600,2998,2031,650,317,0,0,1.75,80
1300732500,1,7,10000,3000,600,600,2999,1329,528,97,1045,0,1.75,80
3191146323,1,7,3000,3000,600,600,3000,2640,351,9,0,0,1.78333,0
3191146323,1,7,8000,3000,600,600,2999,1282,1084,633,0,0,1.76667,0
3191146323,1,7,10000,3000,600,600,2996,875,1112,570,439,0,1.7,0
3191146323,1,7,3000,3000,600,600,3000,2640,351,9,0,0,1.73333,5
3191146323,1,7,8000,3000,600,600,2999,1282,1084,633,0,0,1.71667,5
3191146323,1,7,10000,3000,600,600,2996,875,1112,570,439,0,1.76667,5
