RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3117968212,1,1,3000,3000,600,600,3000,2598,398,4,0,0,1.38333
3117968212,1,1,3000,1000,600,600,1000,957,42,1,0,0,0.0833333
3117968212,1,1,3000,2000,600,600,2000,1829,170,1,0,0,0.5
3117968212,1,1,3000,4000,600,600,3999,3374,618,7,0,0,2.73333
3117968212,1,1,3000,5000,600,600,4999,3964,1009,26,0,0,4.8
3117968212,1,1,3000,6000,600,600,5999,4543,1407,49,0,0,7.15
3117968212,1,2,3000,3000,600,600,2997,2272,447,278,0,0,1.36667
3117968212,1,2,3000,1000,600,600,1000,925,62,13,0,0,0.0833333
3117968212,1,2,3000,2000,600,600,1998,1678,234,86,0,0,0.516667
3117968212,1,2,3000,4000,600,600,3997,2684,752,561,0,0,2.88333
3117968212,1,2,3000,5000,600,600,4995,2997,977,1021,0,0,4.71667
3117968212,1,2,3000,6000,600,600,5994,3253,1263,1478,0,0,7.15
3117968212,1,3,3000,3000,600,600,3000,2709,235,56,0,0,1.45
3117968212,1,3,3000,1000,600,600,1000,976,23,1,0,0,0.0833333
3117968212,1,3,3000,2000,600,600,1999,1884,98,17,0,0,0.5
3117968212,1,3,3000,4000,600,600,3999,3511,384,104,0,0,2.83333
3117968212,1,3,3000,5000,600,600,4999,4194,573,232,0,0,4.41667
3117968212,1,3,3000,6000,600,600,5995,4832,780,383,0,0,7.13333
3117968212,1,4,3000,3000,600,600,3000,2631,365,4,0,0,1.38333
3117968212,1,4,3000,1000,600,600,1000,959,40,1,0,0,0.0833333
3117968212,1,4,3000,2000,600,600,2000,1845,154,1,0,0,0.5
3117968212,1,4,3000,4000,600,600,3999,3426,566,7,0,0,2.78333
3117968212,1,4,3000,5000,600,600,4999,4048,924,27,0,0,4.66667
3117968212,1,4,3000,6000,600,600,5999,4643,1300,56,0,0,7.13333
3117968212,1,5,3000,3000,600,600,3000,2708,236,56,0,0,1.38333
3117968212,1,5,3000,1000,600,600,1000,976,23,1,0,0,0.0833333
3117968212,1,5,3000,2000,600,600,1999,1884,98,17,0,0,0.516667
3117968212,1,5,3000,4000,600,600,3999,3502,390,107,0,0,2.86667
3117968212,1,5,3000,5000,600,600,4999,4194,572,233,0,0,4.63333
3117968212,1,5,3000,6000,600,600,5995,4824,783,388,0,0,7.13333
4114631258,1,1,3000,3000,600,600,3000,2587,408,5,0,0,1.53333
4114631258,1,1,3000,1000,600,600,1000,954,46,0,0,0,0.0833333
4114631258,1,1,3000,2000,600,600,2000,1812,188,0,0,0,0.5
4114631258,1,1,3000,4000,600,600,4000,3342,648,10,0,0,2.86667
4114631258,1,1,3000,5000,600,600,4998,3935,1032,31,0,0,4.68333
4114631258,1,1,3000,6000,600,600,6000,4537,1414,49,0,0,7.21667
4114631258,1,2,3000,3000,600,600,2999,2172,536,291,0,0,1.38333
