RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3166763426,1,1,2000,1000,600,600,1000,980,18,2,0,0,0.216667
3166763426,1,1,2000,2000,600,600,1999,1865,117,17,0,0,0.883333
3166763426,1,1,2000,3000,600,600,2998,2714,225,59,0,0,2.11667
3166763426,1,1,2000,4000,600,600,3999,3519,373,107,0,0,3.8
3166763426,1,1,2000,5000,600,600,4999,4127,627,245,0,0,6.15
3166763426,1,1,2000,6000,600,600,5999,4723,880,396,0,0,8.85
3166763426,1,2,2000,1000,600,600,1000,913,76,11,0,0,0.2
3166763426,1,2,2000,2000,600,600,1999,1676,239,84,0,0,0.9
3166763426,1,2,2000,3000,600,600,2997,2214,500,283,0,0,2.1
3166763426,1,2,2000,4000,600,600,3996,2701,738,557,0,0,3.83333
3166763426,1,2,2000,5000,600,600,4997,2949,1063,985,0,0,6.06667
3166763426,1,2,2000,6000,600,600,5998,3180,1310,1508,0,0,8.9
3166763426,1,3,2000,1000,600,600,1000,966,34,0,0,0,0.216667
3166763426,1,3,2000,2000,600,600,2000,1833,166,1,0,0,0.9
3166763426,1,3,2000,3000,600,600,2998,2618,373,7,0,0,2.11667
3166763426,1,3,2000,4000,600,600,4000,3366,626,8,0,0,3.78333
3166763426,1,3,2000,5000,600,600,5000,3940,1037,23,0,0,6.1
3166763426,1,3,2000,6000,600,600,5999,4508,1448,43,0,0,8.85
3166763426,1,4,2000,1000,600,600,1000,966,34,0,0,0,0.233333
3166763426,1,4,2000,2000,600,600,2000,1833,166,1,0,0,0.9
3166763426,1,4,2000,3000,600,600,2998,2618,373,7,0,0,2.08333
3166763426,1,4,2000,4000,600,600,4000,3366,626,8,0,0,3.88333
3166763426,1,4,2000,5000,600,600,5000,3940,1037,23,0,0,6.06667
3166763426,1,4,2000,6000,600,600,5999,4508,1448,43,0,0,8.78333
3166763426,1,5,2000,1000,600,600,1000,980,18,2,0,0,0.2
3166763426,1,5,2000,2000,600,600,1999,1865,117,17,0,0,0.916667
3166763426,1,5,2000,3000,600,600,2998,2714,225,59,0,0,2.11667
3166763426,1,5,2000,4000,600,600,3999,3519,373,107,0,0,3.88333
3166763426,1,5,2000,5000,600,600,4999,4127,627,245,0,0,6.03333
3166763426,1,5,2000,6000,600,600,5999,4723,880,396,0,0,8.98333
4136715546,1,1,2000,1000,600,600,1000,961,37,2,0,0,0.216667
4136715546,1,1,2000,2000,600,600,2000,1869,117,14,0,0,0.883333
