RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
3117423685,1,1,2000,1000,600,600,1000,975,24,1,0,0,0.216667
3117423685,1,1,2000,2000,600,600,2000,1880,111,9,0,0,0.916667
3117423685,1,1,2000,3000,600,600,2998,2698,245,55,0,0,2.1
3117423685,1,1,2000,4000,600,600,3998,3507,369,122,0,0,3.81667
3117423685,1,1,2000,5000,600,600,4999,4214,571,214,0,0,6.13333
3117423685,1,1,2000,6000,600,600,5998,4849,793,356,0,0,8.93333
3117423685,1,2,2000,1000,600,600,997,920,62,15,0,0,0.216667
3117423685,1,2,2000,2000,600,600,1999,1664,250,85,0,0,0.933333
3117423685,1,2,2000,3000,600,600,2996,2212,493,291,0,0,2.16667
3117423685,1,2,2000,4000,600,600,3998,2672,762,564,0,0,3.85
3117423685,1,2,2000,5000,600,600,4995,2948,1061,986,0,0,6.05
3117423685,1,2,2000,6000,600,600,5998,3205,1297,1496,0,0,8.96667
3117423685,1,3,2000,1000,600,600,1000,957,43,0,0,0,0.216667
3117423685,1,3,2000,2000,600,600,2000,1808,192,0,0,0,0.916667
3117423685,1,3,2000,3000,600,600,2999,2579,413,7,0,0,2.11667
3117423685,1,3,2000,4000,600,600,3999,3368,622,9,0,0,3.8
3117423685,1,3,2000,5000,600,600,5000,3986,993,21,0,0,6.11667
3117423685,1,3,2000,6000,600,600,5999,4557,1403,39,0,0,9.11667
3117423685,1,4,2000,1000,600,600,1000,957,43,0,0,0,0.216667
3117423685,1,4,2000,2000,600,600,2000,1808,192,0,0,0,0.916667
3117423685,1,4,2000,3000,600,600,2999,2579,413,7,0,0,2.08333
3117423685,1,4,2000,4000,600,600,3999,3368,622,9,0,0,3.81667
3117423685,1,4,2000,5000,600,600,5000,3986,993,21,0,0,6.08333
3117423685,1,4,2000,6000,600,600,5999,4557,1403,39,0,0,9.03333
3117423685,1,5,2000,1000,600,600,1000,975,24,1,0,0,0.216667
3117423685,1,5,2000,2000,600,600,2000,1880,111,9,0,0,0.916667
3117423685,1,5,2000,3000,600,600,2998,2698,245,55,0,0,2.1
3117423685,1,5,2000,4000,600,600,3998,3507,369,122,0,0,3.83333
3117423685,1,5,2000,5000,600,600,4999,4214,571,214,0,0,6.01667
3117423685,1,5,2000,6000,600,600,5998,4849,793,356,0,0,9.05
