RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
913936352,1,1,3000,3000,600,600,3000,2641,355,4,0,0,2.16667
913936352,1,1,2000,3000,600,600,3000,2641,355,4,0,0,2.18333
913936352,1,1,4000,3000,600,600,3000,2641,355,4,0,0,2.16667
913936352,1,1,6000,3000,600,600,3000,1368,105,1,1526,0,2.16667
913936352,1,1,8000,3000,600,600,3000,787,27,0,2186,0,2.16667
913936352,1,1,10000,3000,600,600,3000,498,14,0,2488,0,2.18333
913936352,1,2,3000,3000,600,600,2993,2306,434,253,0,0,2.2
913936352,1,2,2000,3000,600,600,2993,2306,434,253,0,0,2.15
913936352,1,2,4000,3000,600,600,2993,2306,434,253,0,0,2.13333
913936352,1,2,6000,3000,600,600,2993,2306,434,253,0,0,2.15
913936352,1,2,8000,3000,600,600,2993,2306,434,253,0,0,2.13333
913936352,1,2,10000,3000,600,600,3000,696,14,0,2290,0,2.15
913936352,1,3,3000,3000,600,600,2997,2724,226,47,0,0,2.21667
913936352,1,3,2000,3000,600,600,2997,2724,226,47,0,0,2.18333
913936352,1,3,4000,3000,600,600,2997,2724,226,47,0,0,2.13333
913936352,1,3,6000,3000,600,600,2998,2105,167,40,686,0,2.16667
913936352,1,3,8000,3000,600,600,2998,1021,66,24,1887,0,2.15
913936352,1,3,10000,3000,600,600,3000,498,14,0,2488,0,2.18333
913936352,1,4,3000,3000,600,600,3000,2681,315,4,0,0,2.15
913936352,1,4,2000,3000,600,600,3000,2641,355,4,0,0,2.18333
913936352,1,4,4000,3000,600,600,2999,2734,256,9,0,0,2.2
913936352,1,4,6000,3000,600,600,2993,2396,411,186,0,0,2.18333
913936352,1,4,8000,3000,600,600,2993,1310,1068,615,0,0,2.15
913936352,1,4,10000,3000,600,600,2993,894,1123,565,411,0,2.15
913936352,1,5,3000,3000,600,600,2997,2723,226,48,0,0,2.15
913936352,1,5,2000,3000,600,600,2997,2724,226,47,0,0,2.16667
913936352,1,5,4000,3000,600,600,2997,2691,239,67,0,0,2.16667
913936352,1,5,6000,3000,600,600,2996,2133,410,247,206,0,2.15
913936352,1,5,8000,3000,600,600,2994,1001,951,620,422,0,2.15
913936352,1,5,10000,3000,600,600,2996,592,1029,590,785,0,2.15
2478757165,1,1,3000,3000,600,600,3000,2570,422,8,0,0,2.16667
2478757165,1,1,2000,3000,600,600,3000,2570,422,8,0,0,2.16667
2478757165,1,1,4000,3000,600,600,3000,2570,422,8,0,0,2.13333
2478757165,1,1,6000,3000,600,600,3000,1358,113,2,1527,0,2.2
2478757165,1,1,8000,3000,600,600,3000,798,32,0,2170,0,2.11667
2478757165,1,1,10000,3000,600,600,3000,517,11,0,2472,0,2.11667
2478757165,1,2,3000,3000,600,600,2997,2232,461,304,0,0,2.21667
2478757165,1,2,2000,3000,600,600,2997,2232,461,304,0,0,2.2
2478757165,1,2,4000,3000,600,600,2997,2232,461,304,0,0,2.21667
2478757165,1,2,6000,3000,600,600,2997,2232,461,304,0,0,2.21667
2478757165,1,2,8000,3000,600,600,2997,2232,461,304,0,0,2.16667
2478757165,1,2,10000,3000,600,600,3000,713,17,0,2270,0,2.16667
2478757165,1,3,3000,3000,600,600,2999,2700,240,59,0,0,2.15
2478757165,1,3,2000,3000,600,600,2999,2700,240,59,0,0,2.18333
2478757165,1,3,4000,3000,600,600,2999,2700,240,59,0,0,2.15
2478757165,1,3,6000,3000,600,600,2999,2043,180,48,728,0,2.13333
2478757165,1,3,8000,3000,600,600,2999,1014,88,24,1873,0,2.16667
2478757165,1,3,10000,3000,600,600,3000,517,11,0,2472,0,2.16667
2478757165,1,4,3000,3000,600,600,3000,2613,378,9,0,0,2.15
2478757165,1,4,2000,3000,600,600,3000,2570,422,8,0,0,2.16667
2478757165,1,4,4000,3000,600,600,3000,2678,299,23,0,0,2.15
2478757165,1,4,6000,3000,600,600,2998,2319,443,236,0,0,2.43333
2478757165,1,4,8000,3000,600,600,2997,1286,1049,662,0,0,2.38333
2478757165,1,4,10000,3000,600,600,2997,839,1104,618,436,0,2.7
2478757165,1,5,3000,3000,600,600,2999,2694,244,61,0,0,2.5
2478757165,1,5,2000,3000,600,600,2999,2700,240,59,0,0,2.46667
2478757165,1,5,4000,3000,600,600,2998,2664,255,79,0,0,2.56667
2478757165,1,5,6000,3000,600,600,2997,2041,477,274,205,0,2.41667
2478757165,1,5,8000,3000,600,600,2996,937,970,672,417,0,2.71667
2478757165,1,5,10000,3000,600,600,2996,541,1032,639,784,0,2.53333
1715222974,1,1,3000,3000,600,600,2999,2621,373,5,0,0,2.66667
1715222974,1,1,2000,3000,600,600,2999,2621,373,5,0,0,2.61667
1715222974,1,1,4000,3000,600,600,2999,2621,373,5,0,0,2.71667
1715222974,1,1,6000,3000,600,600,2999,1340,109,0,1550,0,3.03333
1715222974,1,1,8000,3000,600,600,2999,791,39,0,2169,0,3.21667
1715222974,1,1,10000,3000,600,600,3000,514,18,0,2468,0,3.21667
1715222974,1,2,3000,3000,600,600,2998,2246,480,272,0,0,2.65
1715222974,1,2,2000,3000,600,600,2998,2246,480,272,0,0,2.68333
1715222974,1,2,4000,3000,600,600,2998,2246,480,272,0,0,2.61667
1715222974,1,2,6000,3000,600,600,2998,2246,480,272,0,0,2.63333
1715222974,1,2,8000,3000,600,600,2998,2246,480,272,0,0,2.4
1715222974,1,2,10000,3000,600,600,2999,695,26,0,2278,0,2.15
1715222974,1,3,3000,3000,600,600,2999,2712,225,62,0,0,2.16667
1715222974,1,3,2000,3000,600,600,2999,2712,225,62,0,0,2.23333
