RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
2634358943,1,1,6000,6000,600,600,5999,2465,408,4,3122,0,4.18333,5
2634358943,1,1,6000,1000,600,600,1000,466,8,0,526,0,0.1,5
2634358943,1,1,6000,2000,600,600,2000,916,49,0,1035,0,0.433333,5
2634358943,1,1,6000,3000,600,600,3000,1334,122,4,1540,0,1,5
2634358943,1,1,6000,4000,600,600,4000,1714,195,4,2087,0,1.8,5
2634358943,1,1,6000,5000,600,600,5000,2109,288,4,2599,0,2.83333,5
2634358943,1,2,6000,6000,600,600,5992,3220,1305,1467,0,0,4.18333,5
2634358943,1,2,6000,1000,600,600,1000,928,60,12,0,0,0.116667,5
2634358943,1,2,6000,2000,600,600,1998,1682,228,88,0,0,0.45,5
2634358943,1,2,6000,3000,600,600,2998,2241,506,251,0,0,1.01667,5
2634358943,1,2,6000,4000,600,600,3998,2647,773,578,0,0,1.8,5
2634358943,1,2,6000,5000,600,600,4995,2959,1069,967,0,0,2.88333,5
2634358943,1,3,6000,6000,600,600,5998,3631,568,293,1506,0,4.15,5
2634358943,1,3,6000,1000,600,600,1000,690,17,2,291,0,0.1,5
2634358943,1,3,6000,2000,600,600,2000,1385,69,10,536,0,0.45,5
2634358943,1,3,6000,3000,600,600,3000,2023,183,42,752,0,1.01667,5
2634358943,1,3,6000,4000,600,600,3999,2585,268,88,1058,0,1.8,5
2634358943,1,3,6000,5000,600,600,4996,3126,418,181,1271,0,2.86667,5
2634358943,1,4,6000,6000,600,600,5992,3436,1276,1280,0,0,4.16667,5
2634358943,1,4,6000,1000,600,600,1000,931,57,12,0,0,0.1,5
2634358943,1,4,6000,2000,600,600,1998,1721,207,70,0,0,0.45,5
2634358943,1,4,6000,3000,600,600,2998,2355,448,195,0,0,1.01667,5
2634358943,1,4,6000,4000,600,600,3998,2786,740,472,0,0,1.8,5
2634358943,1,4,6000,5000,600,600,4994,3138,1038,818,0,0,2.88333,5
2634358943,1,5,6000,6000,600,600,5994,2849,1283,1527,335,0,4.18333,5
2634358943,1,5,6000,1000,600,600,1000,847,64,14,75,0,0.116667,5
2634358943,1,5,6000,2000,600,600,1998,1515,246,80,157,0,0.433333,5
2634358943,1,5,6000,3000,600,600,2998,2040,478,259,221,0,1.01667,5
2634358943,1,5,6000,4000,600,600,3999,2381,749,605,264,0,1.81667,5
2634358943,1,5,6000,5000,600,600,4994,2679,999,1026,290,0,2.86667,5
2634358943,1,8,6000,6000,600,600,5992,124,2236,3632,0,0,4.18333,5
2634358943,1,8,6000,1000,600,600,998,334,575,89,0,0,0.1,5
2634358943,1,8,6000,2000,600,600,1997,301,1221,475,0,0,0.433333,5
2634358943,1,8,6000,3000,600,600,2996,253,1652,1091,0,0,1,5
2634358943,1,8,6000,4000,600,600,3996,184,1935,1877,0,0,1.8,5
2634358943,1,8,6000,5000,600,600,4994,142,2098,2754,0,0,2.85,5
1171249837,1,1,6000,6000,600,600,6000,2566,441,10,2983,0,4.11667,5
1171249837,1,1,6000,1000,600,600,1000,481,9,0,510,0,0.116667,5
1171249837,1,1,6000,2000,600,600,2000,948,52,0,1000,0,0.433333,5
1171249837,1,1,6000,3000,600,600,3000,1359,131,5,1505,0,1,5
1171249837,1,1,6000,4000,600,600,3999,1791,180,3,2025,0,1.8,5
1171249837,1,1,6000,5000,600,600,5000,2220,288,3,2489,0,2.81667,5
1171249837,1,2,6000,6000,600,600,5996,3172,1294,1530,0,0,4.15,5
1171249837,1,2,6000,1000,600,600,999,896,91,12,0,0,0.116667,5
1171249837,1,2,6000,2000,600,600,1997,1666,235,96,0,0,0.45,5
1171249837,1,2,6000,3000,600,600,2999,2196,519,284,0,0,1.01667,5
