RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
4227096072,1,1,2000,3000,600,600,3000,2648,346,6,0,0,3.6,5
4227096072,1,1,4000,3000,600,600,3000,2648,346,6,0,0,4.01667,5
4227096072,1,1,6000,3000,600,600,3000,1432,96,3,1469,0,3.88333,5
4227096072,1,1,10000,3000,600,600,3000,553,14,0,2433,0,4.2,5
4227096072,1,1,15000,3000,600,600,3000,274,5,0,2721,0,4.13333,5
4227096072,1,1,20000,3000,600,600,3000,158,4,0,2838,0,3.58333,5
4227096072,1,1,25000,3000,600,600,3000,103,2,0,2895,0,4.41667,5
4227096072,1,2,2000,3000,600,600,3000,2286,459,255,0,0,4.26667,5
4227096072,1,2,4000,3000,600,600,3000,2286,459,255,0,0,4.21667,5
4227096072,1,2,6000,3000,600,600,3000,2286,459,255,0,0,4,5
4227096072,1,2,10000,3000,600,600,3000,782,17,1,2200,0,3.85,5
4227096072,1,2,15000,3000,600,600,3000,274,5,0,2721,0,4.2,5
4227096072,1,2,20000,3000,600,600,3000,158,4,0,2838,0,3.53333,5
4227096072,1,2,25000,3000,600,600,3000,103,2,0,2895,0,2.03333,5
4227096072,1,3,2000,3000,600,600,3000,2726,217,57,0,0,2.05,5
4227096072,1,3,4000,3000,600,600,3000,2726,217,57,0,0,2.03333,5
4227096072,1,3,6000,3000,600,600,3000,2194,167,49,590,0,2.05,5
4227096072,1,3,10000,3000,600,600,3000,553,14,0,2433,0,2.03333,5
4227096072,1,3,15000,3000,600,600,3000,274,5,0,2721,0,2.03333,5
4227096072,1,3,20000,3000,600,600,3000,158,4,0,2838,0,2.03333,5
4227096072,1,3,25000,3000,600,600,3000,103,2,0,2895,0,2.03333,5
4227096072,1,4,2000,3000,600,600,3000,2648,346,6,0,0,2.01667,5
4227096072,1,4,4000,3000,600,600,3000,2748,235,17,0,0,2,5
4227096072,1,4,6000,3000,600,600,3000,2416,398,186,0,0,2.03333,5
4227096072,1,4,10000,3000,600,600,2998,932,1097,580,389,0,2.06667,5
4227096072,1,4,15000,3000,600,600,3000,554,531,161,1754,0,2.1,5
4227096072,1,4,20000,3000,600,600,3000,399,230,67,2304,0,2.33333,5
4227096072,1,4,25000,3000,600,600,3000,321,99,23,2557,0,2.03333,5
4227096072,1,5,2000,3000,600,600,3000,2726,217,57,0,0,2,5
4227096072,1,5,4000,3000,600,600,3000,2685,238,77,0,0,1.96667,5
4227096072,1,5,6000,3000,600,600,3000,2127,445,271,157,0,2.06667,5
4227096072,1,5,10000,3000,600,600,2999,601,1032,580,786,0,1.96667,5
4227096072,1,5,15000,3000,600,600,3000,362,592,251,1795,0,2.03333,5
4227096072,1,5,20000,3000,600,600,3000,306,282,114,2298,0,2.1,5
4227096072,1,5,25000,3000,600,600,3000,251,152,46,2551,0,2.05,5
4227096072,1,8,2000,3000,600,600,2998,221,1684,1093,0,0,2.08333,5
4227096072,1,8,4000,3000,600,600,2998,221,1684,1093,0,0,2.08333,5
4227096072,1,8,6000,3000,600,600,2998,221,1684,1093,0,0,2.08333,5
4227096072,1,8,10000,3000,600,600,2998,246,1503,914,335,0,2.08333,5
4227096072,1,8,15000,3000,600,600,3000,282,742,318,1658,0,2.06667,5
4227096072,1,8,20000,3000,600,600,3000,271,344,140,2245,0,2.08333,5
4227096072,1,8,25000,3000,600,600,3000,242,176,54,2528,0,2.08333,5
2037759854,1,1,2000,3000,600,600,3000,2624,372,4,0,0,1.88333,5
2037759854,1,1,4000,3000,600,600,3000,2624,372,4,0,0,2.03333,5
2037759854,1,1,6000,3000,600,600,3000,1373,105,2,1520,0,2.01667,5
2037759854,1,1,10000,3000,600,600,3000,544,23,1,2432,0,1.98333,5
2037759854,1,1,15000,3000,600,600,3000,242,6,0,2752,0,2,5
2037759854,1,1,20000,3000,600,600,3000,129,3,0,2868,0,2.03333,5
2037759854,1,1,25000,3000,600,600,3000,83,1,0,2916,0,2.05,5
2037759854,1,2,2000,3000,600,600,2998,2296,470,232,0,0,2,5
2037759854,1,2,4000,3000,600,600,2998,2296,470,232,0,0,2.06667,5
2037759854,1,2,6000,3000,600,600,2998,2296,470,232,0,0,2.03333,5
2037759854,1,2,10000,3000,600,600,3000,753,24,1,2222,0,2.01667,5
2037759854,1,2,15000,3000,600,600,3000,242,6,0,2752,0,2.05,5
2037759854,1,2,20000,3000,600,600,3000,129,3,0,2868,0,2.05,5
2037759854,1,2,25000,3000,600,600,3000,83,1,0,2916,0,2.03333,5
2037759854,1,3,2000,3000,600,600,2999,2734,226,39,0,0,2.01667,5
2037759854,1,3,4000,3000,600,600,2999,2734,226,39,0,0,2.03333,5
2037759854,1,3,6000,3000,600,600,2999,2070,167,32,730,0,2.01667,5
2037759854,1,3,10000,3000,600,600,3000,544,23,1,2432,0,2,5
2037759854,1,3,15000,3000,600,600,3000,242,6,0,2752,0,2.03333,5
2037759854,1,3,20000,3000,600,600,3000,129,3,0,2868,0,2,5
2037759854,1,3,25000,3000,600,600,3000,83,1,0,2916,0,2.01667,5
2037759854,1,4,2000,3000,600,600,3000,2624,372,4,0,0,2.03333,5
2037759854,1,4,4000,3000,600,600,2999,2732,254,13,0,0,1.88333,5
2037759854,1,4,6000,3000,600,600,2999,2384,441,174,0,0,1.98333,5
2037759854,1,4,10000,3000,600,600,2995,910,1113,529,443,0,2,5
2037759854,1,4,15000,3000,600,600,2997,541,513,149,1794,0,2.03333,5
2037759854,1,4,20000,3000,600,600,2998,390,247,57,2304,0,2.01667,5
2037759854,1,4,25000,3000,600,600,2999,278,132,27,2562,0,2.05,5
2037759854,1,5,2000,3000,600,600,2999,2734,226,39,0,0,2,5
2037759854,1,5,4000,3000,600,600,2999,2739,210,50,0,0,2,5
2037759854,1,5,6000,3000,600,600,2996,2072,459,255,210,0,1.98333,5
2037759854,1,5,10000,3000,600,600,2995,581,1026,569,819,0,2.01667,5
2037759854,1,5,15000,3000,600,600,2996,338,586,233,1839,0,2.06667,5
2037759854,1,5,20000,3000,600,600,2998,279,319,95,2305,0,1.95,5
2037759854,1,5,25000,3000,600,600,2999,223,171,44,2561,0,2.05,5
2037759854,1,8,2000,3000,600,600,2994,221,1670,1103,0,0,2.05,5
2037759854,1,8,4000,3000,600,600,2994,221,1670,1103,0,0,2.06667,5
2037759854,1,8,6000,3000,600,600,2994,221,1670,1103,0,0,2.06667,5
2037759854,1,8,10000,3000,600,600,2995,242,1494,899,360,0,2.05,5
2037759854,1,8,15000,3000,600,600,2996,269,738,292,1697,0,2.06667,5
2037759854,1,8,20000,3000,600,600,2998,264,359,104,2271,0,2.1,5
2037759854,1,8,25000,3000,600,600,2999,221,184,47,2547,0,2.08333,5
3601874798,1,1,2000,3000,600,600,2999,2592,401,6,0,0,2.03333,5
3601874798,1,1,4000,3000,600,600,2999,2592,401,6,0,0,2,5
3601874798,1,1,6000,3000,600,600,2999,1301,139,0,1559,0,2.01667,5
3601874798,1,1,10000,3000,600,600,3000,474,16,0,2510,0,2.01667,5
3601874798,1,1,15000,3000,600,600,3000,218,3,0,2779,0,2.01667,5
3601874798,1,1,20000,3000,600,600,3000,126,2,0,2872,0,2,5
3601874798,1,1,25000,3000,600,600,3000,82,1,0,2917,0,2,5
3601874798,1,2,2000,3000,600,600,2996,2214,512,270,0,0,2.03333,5
3601874798,1,2,4000,3000,600,600,2996,2214,512,270,0,0,2,5
3601874798,1,2,6000,3000,600,600,2996,2214,512,270,0,0,2.01667,5
3601874798,1,2,10000,3000,600,600,3000,626,30,0,2344,0,2.03333,5
3601874798,1,2,15000,3000,600,600,3000,218,3,0,2779,0,1.98333,5
