RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
3897272812,1,7,3000,3000,600,600,2997,2312,429,256,0,0,1.88333,0
3897272812,1,7,8000,3000,600,600,2997,1425,317,208,1047,0,1.78333,0
3897272812,1,7,10000,3000,600,600,2997,1020,206,124,1647,0,1.73333,0
3897272812,1,7,3000,3000,600,600,2997,2337,412,248,0,0,1.73333,5
3897272812,1,7,8000,3000,600,600,2997,1440,305,201,1051,0,1.78333,5
3897272812,1,7,10000,3000,600,600,2997,1037,190,118,1652,0,1.73333,5
3897272812,1,7,3000,3000,600,600,2997,2358,404,235,0,0,1.75,10
3897272812,1,7,8000,3000,600,600,2997,1449,303,189,1056,0,1.71667,10
3897272812,1,7,10000,3000,600,600,2997,1047,186,109,1655,0,1.7,10
3897272812,1,7,3000,3000,600,600,2998,2409,373,216,0,0,1.68333,20
3897272812,1,7,8000,3000,600,600,2998,1486,280,171,1061,0,1.76667,20
3897272812,1,7,10000,3000,600,600,2998,1066,161,93,1678,0,1.73333,20
3897272812,1,7,3000,3000,600,600,2998,2484,348,166,0,0,1.68333,50
3897272812,1,7,8000,3000,600,600,2998,1459,238,122,1179,0,1.73333,50
3897272812,1,7,10000,3000,600,600,2998,990,113,42,1853,0,1.75,50
3897272812,1,7,3000,3000,600,600,2998,2520,330,148,0,0,1.73333,60
3897272812,1,7,8000,3000,600,600,2998,1452,214,109,1223,0,1.73333,60
3897272812,1,7,10000,3000,600,600,2998,965,104,29,1900,0,1.71667,60
3897272812,1,7,3000,3000,600,600,2998,2566,316,116,0,0,1.78333,80
3897272812,1,7,8000,3000,600,600,2998,1399,173,70,1356,0,1.73333,80
3897272812,1,7,10000,3000,600,600,2998,889,71,15,2023,0,1.73333,80
