RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
3344120293,1,7,3000,3000,600,600,2995,2344,404,247,0,0,2.83333,0
3344120293,1,7,3000,3000,600,600,2995,2357,393,245,0,0,2.78333,1
3344120293,1,7,3000,3000,600,600,2995,2377,383,235,0,0,2.8,5
3344120293,1,7,3000,3000,600,600,2995,2393,372,230,0,0,2.81667,10
3344120293,1,7,3000,3000,600,600,2995,2422,358,215,0,0,2.56667,20
3344120293,1,7,3000,3000,600,600,2995,2511,322,162,0,0,2.6,50
3344120293,1,7,3000,3000,600,600,2995,2527,315,153,0,0,2.55,60
3344120293,1,7,3000,3000,600,600,2997,2606,280,111,0,0,2.58333,80
88355565,1,7,3000,3000,600,600,2998,2247,458,293,0,0,2.56667,0
88355565,1,7,3000,3000,600,600,2998,2259,449,290,0,0,2.56667,1
88355565,1,7,3000,3000,600,600,2998,2303,418,277,0,0,2.58333,5
88355565,1,7,3000,3000,600,600,2998,2327,407,264,0,0,2.58333,10
88355565,1,7,3000,3000,600,600,2998,2368,386,244,0,0,2.58333,20
88355565,1,7,3000,3000,600,600,2998,2482,336,180,0,0,2.6,50
88355565,1,7,3000,3000,600,600,2998,2519,318,161,0,0,2.63333,60
88355565,1,7,3000,3000,600,600,2998,2565,302,131,0,0,2.53333,80
4147577585,1,7,3000,3000,600,600,2998,2333,410,255,0,0,2.56667,0
4147577585,1,7,3000,3000,600,600,2998,2346,403,249,0,0,2.55,1
4147577585,1,7,3000,3000,600,600,2998,2363,392,243,0,0,2.53333,5
4147577585,1,7,3000,3000,600,600,2998,2387,379,232,0,0,2.51667,10
4147577585,1,7,3000,3000,600,600,2998,2424,365,209,0,0,2.56667,20
4147577585,1,7,3000,3000,600,600,2998,2514,323,161,0,0,2.56667,50
4147577585,1,7,3000,3000,600,600,2998,2525,326,147,0,0,2.53333,60
4147577585,1,7,3000,3000,600,600,2998,2586,297,115,0,0,2.53333,80
2686331185,1,7,3000,3000,600,600,2999,2269,442,288,0,0,2.58333,0
2686331185,1,7,3000,3000,600,600,2999,2279,433,287,0,0,2.55,1
2686331185,1,7,3000,3000,600,600,2999,2306,414,279,0,0,2.55,5
2686331185,1,7,3000,3000,600,600,2999,2333,404,262,0,0,2.56667,10
2686331185,1,7,3000,3000,600,600,2998,2357,399,242,0,0,2.56667,20
2686331185,1,7,3000,3000,600,600,2998,2481,340,177,0,0,2.6,50
2686331185,1,7,3000,3000,600,600,2998,2515,325,158,0,0,2.58333,60
2686331185,1,7,3000,3000,600,600,2998,2540,333,125,0,0,2.55,80
2248228500,1,7,3000,3000,600,600,2999,2333,406,260,0,0,2.55,0
2248228500,1,7,3000,3000,600,600,2999,2339,400,260,0,0,2.58333,1
2248228500,1,7,3000,3000,600,600,2999,2363,386,250,0,0,2.55,5
2248228500,1,7,3000,3000,600,600,2999,2383,378,238,0,0,2.53333,10
2248228500,1,7,3000,3000,600,600,2999,2426,358,215,0,0,2.6,20
2248228500,1,7,3000,3000,600,600,2999,2492,352,155,0,0,2.53333,50
2248228500,1,7,3000,3000,600,600,2999,2527,328,144,0,0,2.56667,60
2248228500,1,7,3000,3000,600,600,2999,2606,286,107,0,0,2.75,80
519201943,1,7,3000,3000,600,600,2997,2260,440,297,0,0,2.56667,0
519201943,1,7,3000,3000,600,600,2997,2267,436,294,0,0,2.56667,1
519201943,1,7,3000,3000,600,600,2997,2302,410,285,0,0,2.55,5
519201943,1,7,3000,3000,600,600,2997,2313,410,274,0,0,2.56667,10
519201943,1,7,3000,3000,600,600,2997,2345,391,261,0,0,2.56667,20
519201943,1,7,3000,3000,600,600,2997,2475,343,179,0,0,2.51667,50
519201943,1,7,3000,3000,600,600,2997,2494,342,161,0,0,2.56667,60
519201943,1,7,3000,3000,600,600,2998,2553,316,129,0,0,2.53333,80
3439457781,1,7,3000,3000,600,600,2999,2282,440,277,0,0,2.55,0
3439457781,1,7,3000,3000,600,600,2999,2290,434,275,0,0,2.71667,1
3439457781,1,7,3000,3000,600,600,2999,2316,417,266,0,0,2.6,5
3439457781,1,7,3000,3000,600,600,2999,2327,414,258,0,0,2.56667,10
3439457781,1,7,3000,3000,600,600,2999,2371,391,237,0,0,2.58333,20
3439457781,1,7,3000,3000,600,600,2998,2467,352,179,0,0,2.58333,50
3439457781,1,7,3000,3000,600,600,2998,2497,340,161,0,0,2.53333,60
3439457781,1,7,3000,3000,600,600,2999,2559,314,126,0,0,2.53333,80
962779714,1,7,3000,3000,600,600,2998,2258,469,271,0,0,2.51667,0
962779714,1,7,3000,3000,600,600,2998,2273,455,270,0,0,2.56667,1
962779714,1,7,3000,3000,600,600,2998,2301,431,266,0,0,2.55,5
962779714,1,7,3000,3000,600,600,2997,2318,425,254,0,0,2.55,10
962779714,1,7,3000,3000,600,600,2997,2350,412,235,0,0,2.8,20
962779714,1,7,3000,3000,600,600,2997,2433,382,182,0,0,2.56667,50
962779714,1,7,3000,3000,600,600,2997,2480,361,156,0,0,2.53333,60
962779714,1,7,3000,3000,600,600,2999,2527,359,113,0,0,2.58333,80
1495084622,1,7,3000,3000,600,600,3000,2330,414,256,0,0,2.56667,0
1495084622,1,7,3000,3000,600,600,3000,2338,406,256,0,0,2.55,1
1495084622,1,7,3000,3000,600,600,3000,2362,386,252,0,0,2.56667,5
1495084622,1,7,3000,3000,600,600,3000,2383,374,243,0,0,2.55,10
1495084622,1,7,3000,3000,600,600,3000,2436,349,215,0,0,2.56667,20
1495084622,1,7,3000,3000,600,600,3000,2525,316,159,0,0,2.55,50
1495084622,1,7,3000,3000,600,600,3000,2569,284,147,0,0,2.58333,60
1495084622,1,7,3000,3000,600,600,3000,2613,271,116,0,0,2.71667,80
3909453082,1,7,3000,3000,600,600,2998,2273,457,268,0,0,2.56667,0
3909453082,1,7,3000,3000,600,600,2998,2280,451,267,0,0,2.6,1
3909453082,1,7,3000,3000,600,600,2998,2305,432,261,0,0,2.56667,5
3909453082,1,7,3000,3000,600,600,2998,2330,419,249,0,0,2.55,10
3909453082,1,7,3000,3000,600,600,2999,2372,402,225,0,0,2.55,20
3909453082,1,7,3000,3000,600,600,2999,2495,339,165,0,0,2.55,50
3909453082,1,7,3000,3000,600,600,2999,2520,327,152,0,0,2.56667,60
3909453082,1,7,3000,3000,600,600,2999,2577,301,121,0,0,2.58333,80
2694990213,1,7,3000,3000,600,600,2999,2303,415,281,0,0,2.55,0
2694990213,1,7,3000,3000,600,600,2999,2310,408,281,0,0,2.76667,1
2694990213,1,7,3000,3000,600,600,2999,2339,389,271,0,0,2.58333,5
2694990213,1,7,3000,3000,600,600,2999,2359,379,261,0,0,2.6,10
