RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration,targetRealocation
772092358,1,1,3000,3000,600,600,3000,2542,450,8,0,0,5.16667,0
772092358,1,1,3000,1000,600,600,1000,962,38,0,0,0,0.533333,0
772092358,1,1,3000,2000,600,600,2000,1858,142,0,0,0,2.3,0
772092358,1,1,3000,4000,600,600,4000,3322,660,18,0,0,9.26667,0
772092358,1,1,3000,5000,600,600,4997,3982,989,26,0,0,14.8833,0
772092358,1,1,3000,6000,600,600,6000,4548,1411,41,0,0,21.8,0
772092358,1,2,3000,3000,600,600,2993,246,1610,1137,0,0,5.08333,0
772092358,1,2,3000,1000,600,600,997,367,555,75,0,0,0.583333,0
772092358,1,2,3000,2000,600,600,1996,302,1211,483,0,0,2.28333,0
772092358,1,2,3000,4000,600,600,3995,175,1911,1909,0,0,9.31667,0
772092358,1,2,3000,5000,600,600,4992,138,2118,2736,0,0,14.9667,0
772092358,1,2,3000,6000,600,600,5993,135,2237,3621,0,0,22.1667,0
772092358,1,3,3000,3000,600,600,3000,2169,524,307,0,0,5.1,0
772092358,1,3,3000,1000,600,600,997,926,63,8,0,0,0.55,0
772092358,1,3,3000,2000,600,600,2000,1664,248,88,0,0,2.33333,0
772092358,1,3,3000,4000,600,600,3998,2666,726,606,0,0,9.6,0
772092358,1,3,3000,5000,600,600,4995,3009,1024,962,0,0,14.95,0
772092358,1,3,3000,6000,600,600,5995,3204,1282,1509,0,0,21.7,0
772092358,1,4,3000,3000,600,600,3000,2658,282,60,0,0,5.26667,0
772092358,1,4,3000,1000,600,600,1000,974,24,2,0,0,0.583333,0
772092358,1,4,3000,2000,600,600,2000,1887,98,15,0,0,2.33333,0
772092358,1,4,3000,4000,600,600,3999,3479,396,124,0,0,9.38333,0
772092358,1,4,3000,5000,600,600,4997,4211,562,224,0,0,14.4833,0
772092358,1,4,3000,6000,600,600,5995,4785,831,379,0,0,21.35,0
772092358,1,5,3000,3000,600,600,3000,866,1296,838,0,0,5.03333,0
772092358,1,5,3000,1000,600,600,996,632,322,42,0,0,0.583333,0
772092358,1,5,3000,2000,600,600,1997,834,872,291,0,0,2.33333,0
772092358,1,5,3000,4000,600,600,3995,927,1631,1437,0,0,9.21667,0
772092358,1,5,3000,5000,600,600,4995,925,1880,2190,0,0,14.65,0
772092358,1,5,3000,6000,600,600,5995,873,2083,3039,0,0,21.4167,0
772092358,1,6,3000,3000,600,600,3000,2570,420,10,0,0,5.06667,0
772092358,1,6,3000,1000,600,600,1000,966,34,0,0,0,0.583333,0
772092358,1,6,3000,2000,600,600,2000,1869,131,0,0,0,2.26667,0
772092358,1,6,3000,4000,600,600,4000,3368,614,18,0,0,9.15,0
772092358,1,6,3000,5000,600,600,4997,4045,924,28,0,0,14.8,0
772092358,1,6,3000,6000,600,600,5999,4658,1293,48,0,0,21.6167,0
772092358,1,7,3000,3000,600,600,3000,2661,277,62,0,0,5.23333,0
772092358,1,7,3000,1000,600,600,1000,972,26,2,0,0,0.55,0
772092358,1,7,3000,2000,600,600,2000,1887,98,15,0,0,2.25,0
772092358,1,7,3000,4000,600,600,3999,3479,394,126,0,0,9.18333,0
772092358,1,7,3000,5000,600,600,4997,4214,557,226,0,0,15.1333,0
772092358,1,7,3000,6000,600,600,5995,4805,807,383,0,0,21.95,0
772092358,1,8,3000,3000,600,600,3000,866,1296,838,0,0,4.9,0
772092358,1,8,3000,1000,600,600,996,632,322,42,0,0,0.483333,0
772092358,1,8,3000,2000,600,600,1997,834,872,291,0,0,1.88333,0
772092358,1,8,3000,4000,600,600,3995,927,1631,1437,0,0,7.85,0
772092358,1,8,3000,5000,600,600,4995,924,1880,2191,0,0,12.2833,0
772092358,1,8,3000,6000,600,600,5995,873,2084,3038,0,0,18.1833,0
772092358,1,9,3000,3000,600,600,2999,2324,415,260,0,0,4.3,0
772092358,1,9,3000,1000,600,600,1000,940,54,6,0,0,0.466667,0
772092358,1,9,3000,2000,600,600,2000,1673,229,98,0,0,1.85,0
772092358,1,9,3000,4000,600,600,3998,2796,683,519,0,0,7.68333,0
772092358,1,9,3000,5000,600,600,4994,3100,948,946,0,0,12.45,0
772092358,1,9,3000,6000,600,600,5996,3302,1217,1477,0,0,18,0
330691279,1,1,3000,3000,600,600,2999,2618,377,4,0,0,4.41667,0
330691279,1,1,3000,1000,600,600,1000,941,58,1,0,0,0.466667,0
330691279,1,1,3000,2000,600,600,2000,1815,185,0,0,0,1.88333,0
330691279,1,1,3000,4000,600,600,3999,3292,691,16,0,0,7.81667,0
330691279,1,1,3000,5000,600,600,4998,3990,984,24,0,0,12.1667,0
330691279,1,1,3000,6000,600,600,6000,4519,1444,37,0,0,17.95,0
330691279,1,2,3000,3000,600,600,2994,225,1655,1114,0,0,4.25,0
330691279,1,2,3000,1000,600,600,999,365,559,75,0,0,0.483333,0
330691279,1,2,3000,2000,600,600,1994,305,1186,503,0,0,1.83333,0
330691279,1,2,3000,4000,600,600,3995,194,1910,1891,0,0,7.71667,0
330691279,1,2,3000,5000,600,600,4994,145,2119,2730,0,0,12.4,0
330691279,1,2,3000,6000,600,600,5999,123,2235,3641,0,0,18.1833,0
330691279,1,3,3000,3000,600,600,2997,2241,489,267,0,0,4.36667,0
330691279,1,3,3000,1000,600,600,999,922,67,10,0,0,0.466667,0
330691279,1,3,3000,2000,600,600,1998,1639,277,82,0,0,1.9,0
330691279,1,3,3000,4000,600,600,3996,2649,764,583,0,0,7.68333,0
330691279,1,3,3000,5000,600,600,4995,2979,1057,959,0,0,12.1833,0
330691279,1,3,3000,6000,600,600,5997,3211,1344,1442,0,0,17.75,0
330691279,1,4,3000,3000,600,600,2998,2700,241,57,0,0,4.28333,0
330691279,1,4,3000,1000,600,600,1000,975,23,2,0,0,0.45,0
330691279,1,4,3000,2000,600,600,1999,1849,137,13,0,0,1.88333,0
330691279,1,4,3000,4000,600,600,3997,3480,379,138,0,0,7.81667,0
330691279,1,4,3000,5000,600,600,4998,4212,569,217,0,0,12.2167,0
330691279,1,4,3000,6000,600,600,5999,4787,829,383,0,0,17.9667,0
330691279,1,5,3000,3000,600,600,2996,868,1297,831,0,0,4.33333,0
330691279,1,5,3000,1000,600,600,999,652,304,43,0,0,0.466667,0
330691279,1,5,3000,2000,600,600,1994,853,828,313,0,0,1.85,0
330691279,1,5,3000,4000,600,600,3995,877,1668,1450,0,0,7.68333,0
330691279,1,5,3000,5000,600,600,4993,892,1915,2186,0,0,12.45,0
330691279,1,5,3000,6000,600,600,5997,890,2095,3012,0,0,17.9667,0
330691279,1,6,3000,3000,600,600,2999,2651,344,4,0,0,4.31667,0
